Term [en-US],Description [en-US],Part of Speech [en-US],Term [zh-CN],Description [zh-CN],Part of Speech [zh-CN],Term [zh-TW],Description [zh-TW],Part of Speech [zh-TW]
Total Weight,,,,,,,,
Transparent Sheet,,,,,,,,
Transpose,,,,,,,,
Transposition Method,,,,,,,,
Transversal Lines,,,,,,,,
Triangle,,,,,,,,
Trimodal,,,,,,,,
Twice,,,,,,,,
Two Digit Number,,,,,,,,
Two Dimensional Figure,,,,,,,,
Two Dimensional Objects,,,,,,,,
Two Dimensional Shapes,,,,,,,,
Types Of Fractions,,,,,,,,
Types Of Triangles,,,,,,,,
Under,,,,,,,,
Unequal,,,,,,,,
Ungrouped Data,,,,,,,,
Uniform Pathway,,,,,,,,
Uniform Scale,,,,,,,,
Unimodal,,,,,,,,
Unit Cost,,,,,,,,
Unit Digits,,,,,,,,
Unit Squares,,,,,,,,
Units,,,,,,,,
Units Of Time,,,,,,,,
Units Place,,,,,,,,
Unlike Fractions,,,,,,,,
Unlike Terms,,,,,,,,
Upper Limit,,,,,,,,
Upper Surface,,,,,,,,
Vacation,,,,,,,,
Value Added Tax,,,,,,,,
Values,,,,,,,,
Variables,,,,,,,,
Variation,,,,,,,,
Various Numerical Values,,,,,,,,
Vegetable Printing,,,,,,,,
Verbal Phrase,,,,,,,,
Verification,,,,,,,,
Vertical Line,,,,,,,,
Vertical Method,,,,,,,,
Vertically,,,,,,,,
Vertically Opposite Angles,,,,,,,,
Wall Clock,,,,,,,,
Water Clock,,,,,,,,
Water Tax,,,,,,,,
Weather Chart,,,,,,,,
Week,,,,,,,,
Weighing Machines,,,,,,,,
Weighing Objects,,,,,,,,
Weight,,,,,,,,
Whole,,,,,,,,
Width Of The Class Interval,,,,,,,,
Winter,,,,,,,,
With Regrouping,,,,,,,,
Without Regrouping,,,,,,,,
World Literacy Day,,,,,,,,
Wrist Watch,,,,,,,,
X-Axis,,,,,,,,
X-Coordinate,,,,,,,,
Y-Axis,,,,,,,,
Y-Coordinate,,,,,,,,
Year,,,,,,,,
Zero Angle,,,,,,,,
hairy proportions,,,,,,,,
Hundredths,,NOUN,,,,,,
Model,,,,,,,,
Visual,,,,,,,,
Tag,,NOUN,,,,,,
Slope-intercept form,,,,,,,,
slope-intercept equation,,,,,,,,
systems of equation,,,,,,,,
manipulation,,,,,,,,
coefficient,,,,,,,,
radical equation,,,,,,,,
radical term,,,,,,,,
"Before answering the question below, read the following passage:",,X,,,,,,
elevating,,,,,,,,
This is the best answer.,,,,,,,,
uplift,,,,,,,,
uplifting,,,,,,,,
‘grand design’,,,,,,,,
Partial,,,,,,,,
base length,,,,,,,,
scale drawing,,,,,,,,
matched pairs design,,,,,,,,
Diagnostics,,,,,,,,
Please try again!,,,,,,,,
Oops!,,,,,,,,
a shape,,,,,,,,
faces,,,,,,,,
goodness-of-fit test,,,,,,,,
competitive exclusion principle,,,,,,,,
exponential function,,,,,,,,
expected count,,,,,,,,
fixed mindset,,,,,,,,
central limit theorem,,,,,,,,
English Term,,,,,,,,
Quadratic Functions,,,,,,,,
2-Dimensional Plane,,,,,,,,
3-Dimensional Object,,,,,,,,
Abelian Group,,,,,,,,
Absolute Error,,,,,,,,
Absolute Maximum Value,,,,,,,,
Absolute Minimum Value,,,,,,,,
Absolute Value Function,,,,,,,,
Abstract,,,,,,,,
Abstract Symbols,,,,,,,,
Actual Mean Method,,,,,,,,
Addition Moduloезултатът от събирането по,,,,,,,,
Addition Of Surds,,,,,,,,
Adjacent Side,,,,,,,,
Alternate Method,,,,,,,,
Ambiguities,,,,,,,,
Analytical Geometry,,,,,,,,
Angle Bisector Theorems,,,,,,,,
Angle In Standard Position,,,,,,,,
Angle Of Depression,,,,,,,,
Angle Of Elevation,,,,,,,,
Angle Of Inclination,,,,,,,,
Angular Acceleration,,,,,,,,
Angular Displacement,,,,,,,,
Angular Velocity,,,,,,,,
Annual Increment,,,,,,,,
Annual Salary,,,,,,,,
Antilogarithms,,,,,,,,
Approximate Value,,,,,,,,
Approximation Problems,,,,,,,,
Arbitrary Constants,,,,,,,,
Arc Of A Sector,,,,,,,,
Area Of Bounded Regions,,,,,,,,
Area Of Circular Template,,,,,,,,
Argand Diagram,,,,,,,,
Arithmetic Sequence,,,,,,,,
Arm,,,,,,,,
Arrow Diagram,,,,,,,,
Artificial Intelligence,,,,,,,,
Associative,,,,,,,,
Associative Axiom,,,,,,,,
Asymptotes,,,,,,,,
Automata Theory,,,,,,,,
Average Velocity,,,,,,,,
Axiomatic,,,,,,,,
Axioms,,,,,,,,
Axis,,,,,,,,
Base 2 System,,,,,,,,
Base 5 System,,,,,,,,
Base 8 System,,,,,,,,
Base System,,,,,,,,
Basic Logical Connectives,,,,,,,,
Bernoulli’S Trials,,,,,,,,
Biased Coins,,,,,,,,
Bi-Conditional Statements,,,,,,,,
Bijective,,,,,,,,
Binary Number System,,,,,,,,
Binary Operation,,,,,,,,
Binomial Distribution,,,,,,,,
Binomial Expansion,,,,,,,,
Binomial Series,,,,,,,,
Cancellation Laws,,,,,,,,
Cardinal Number,,,,,,,,
Cardinality Of A Set,,,,,,,,
Cartesian Product,,,,,,,,
Cayley’S Table,,,,,,,,
Central Moments,,,,,,,,
Centre,,,,,,,,
Centroid Of A Triangle,,,,,,,,
Certain Event,,,,,,,,
Characteristic Equation,,,,,,,,
Characteristic Part,,,,,,,,
Circular Measure,,,,,,,,
Circular Permutations,,,,,,,,
Circumference Of The Base,,,,,,,,
Circumradius,,,,,,,,
Classical Definition Of Probability,,,,,,,,
Classical Probability,,,,,,,,
Clockwise Rotation,,,,,,,,
Closed Curve,,,,,,,,
Closure Axiom,,,,,,,,
Co-Domain,,,,,,,,
Coefficient Of Range,,,,,,,,
Coefficient Of Variation,,,,,,,,
Co-Initial Vectors,,,,,,,,
Collinear Vectors,,,,,,,,
Collinearity,,,,,,,,
Column Matrix,,,,,,,,
Column Vector,,,,,,,,
Columns,,,,,,,,
Combination Law,,,,,,,,
Combinations,,,,,,,,
Combinatorial Coefficients,,,,,,,,
Combined Objects,,,,,,,,
Comet,,,,,,,,
Command,,,,,,,,
Common Difference,,,,,,,,
Common Factor,,,,,,,,
Common Logarithms,,,,,,,,
Comparison Of Surds,,,,,,,,
Competition,,,,,,,,
Complement,,,,,,,,
Complementary Events,,,,,,,,
Complementary Function,,,,,,,,
Completing Square,,,,,,,,
Componendo Rule,,,,,,,,
Composite Function Theorem,,,,,,,,
Composition Of Functions,,,,,,,,
Composition Table,,,,,,,,
Compound Angles,,,,,,,,
Compound Statements,,,,,,,,
Concave Upward,,,,,,,,
Concavity,,,,,,,,
Conditional Identities,,,,,,,,
Conditional Statements,,,,,,,,
Congruence Modulo,,,,,,,,
Congruent Arcs,,,,,,,,
Conical Portion,,,,,,,,
Conjugate Number,,,,,,,,
Conjugate Of A Complex Number,,,,,,,,
Consistent,,,,,,,,
Constant Of Integration,,,,,,,,
Constant Polynomial,,,,,,,,
Constant Sequences,,,,,,,,
Continuity Of A Function,,,,,,,,
Continuous Random Variable,,,,,,,,
Continuous Real Valued Functions,,,,,,,,
Contradiction,,,,,,,,
Convex Downward,,,,,,,,
Convexity,,,,,,,,
Coordinate Axes,,,,,,,,
Coplanar Lines,,,,,,,,
Coplanar Vectors,,,,,,,,
Coterminous Vectors,,,,,,,,
Counter−Clockwise Rotations,,,,,,,,
Cramer’S Rule Method,,,,,,,,
Cross Multiplication Method,,,,,,,,
Cuboids,,,,,,,,
Cumulative Distribution Function,,,,,,,,
Curve Tracing,,,,,,,,
Curved Surface Area,,,,,,,,
Cyclic Quadrilaterals,,,,,,,,
Cylindrical Portion,,,,,,,,
De Morgan’S Laws,,,,,,,,
Decimal Number,,,,,,,,
Decimal Places,,,,,,,,
Decomposition Method,,,,,,,,
Deduction,,,,,,,,
Definite Integrals,,,,,,,,
Definition,,,,,,,,
Degree Of A Differential Equation,,,,,,,,
Denote,,,,,,,,
Density,,,,,,,,
Descending Powers Of X,,,,,,,,
Descriptive Form,,,,,,,,
Determinant Method,,,,,,,,
Determinants,,,,,,,,
Deterministic Experiment,,,,,,,,
Die,,,,,,,,
Difference Of Two Sets,,,,,,,,
Differentiability,,,,,,,,
Differentiable,,,,,,,,
Differential Calculus,,,,,,,,
Differential Equations,,,,,,,,
Digit In The Tenth Place,,,,,,,,
Digit In The Unit Place,,,,,,,,
Digital Logic Circuit Design,,,,,,,,
Dimension Of A Matrix,,,,,,,,
Direction Ratios,,,,,,,,
Directrix,,,,,,,,
Discrete Mathematics,,,,,,,,
Discrete Random Variable,,,,,,,,
Discriminant,,,,,,,,
Displacement,,,,,,,,
Distinct Numbers,,,,,,,,
Distribution Law,,,,,,,,
Distributive Over Addition,,,,,,,,
Dividend,,,,,,,,
Dividendo Rule,,,,,,,,
Division Algorithm,,,,,,,,
Division Of Surds,,,,,,,,
Divisor,,,,,,,,
Domain,,,,,,,,
Downstream,,,,,,,,
Downward Arrow,,,,,,,,
Echelon Form Of A Matrix,,,,,,,,
Electromagnetic Waves,,,,,,,,
Elegant Way,,,,,,,,
Elementary Event,,,,,,,,
Elimination Method,,,,,,,,
Elliptical Orbits,,,,,,,,
Empirical Probability,,,,,,,,
Empty Set Or Null Set Or Void Set,,,,,,,,
End Point,,,,,,,,
Entries Or Elements,,,,,,,,
Equality Of Matrices,,,,,,,,
Equally Likely Events,,,,,,,,
Equation Of Normal,,,,,,,,
Equiangular,,,,,,,,
Equilateral,,,,,,,,
Equivalent Matrix,,,,,,,,
Equivalent Sets,,,,,,,,
Event,,,,,,,,
Exclamatory,,,,,,,,
Exhaustive Events,,,,,,,,
Existence Of Multiplicative Inverse,,,,,,,,
Existence Of The Curve,,,,,,,,
Exponential Functions,,,,,,,,
Exponential Notation,,,,,,,,
Extended Law Of The Mean,,,,,,,,
Extent,,,,,,,,
External Division,,,,,,,,
Externally,,,,,,,,
Extremities Of The Diameter,,,,,,,,
Factorisation Method,,,,,,,,
Fair Coin,,,,,,,,
False Statement,,,,,,,,
Favourable Outcomes,,,,,,,,
Finite Group,,,,,,,,
Finite Intervals,,,,,,,,
Finite Sequence,,,,,,,,
Finite Set,,,,,,,,
First Degree Equation,,,,,,,,
Fixed Constant,,,,,,,,
Focal Chord,,,,,,,,
Focal Distance,,,,,,,,
Force,,,,,,,,
Formation Of Matrices,,,,,,,,
Fractional Part,,,,,,,,
Free Vector,,,,,,,,
Frustum Of A Cone,,,,,,,,
Function,,,,,,,,
Function Of A Function Rule,,,,,,,,
Functions,,,,,,,,
Fundamental,,,,,,,,
Gaussian Elimination Method,,,,,,,,
General Area Principle,,,,,,,,
General Form,,,,,,,,
Generalised Law Of The Mean,,,,,,,,
Geometric Mean,,,,,,,,
Geometrical Interpretation,,,,,,,,
Graph,,,,,,,,
Graph Theory,,,,,,,,
Gravitation,,,,,,,,
Hemispherical Portion,,,,,,,,
Higher Order Derivatives,,,,,,,,
Highest Degree,,,,,,,,
Hollow Cylinder,,,,,,,,
Hollow Hemisphere,,,,,,,,
Homogeneous Equation,,,,,,,,
Homogeneous Functions,,,,,,,,
Horizontal Arrangements,,,,,,,,
Hyperbolas,,,,,,,,
Hyperbolic Functions,,,,,,,,
Hyperbolic Reflectors,,,,,,,,
Identically Equal To,,,,,,,,
Identity Axiom,,,,,,,,
Illustrative Examples,,,,,,,,
Image,,,,,,,,
Imaginary Unit,,,,,,,,
Implications,,,,,,,,
Implicit Functions,,,,,,,,
Implies,,,,,,,,
Inconsistent,,,,,,,,
Indeterminate Forms,,,,,,,,
Index Form,,,,,,,,
Indirect Variation,,,,,,,,
Inequalities,,,,,,,,
Infinite Group,,,,,,,,
Infinite Intervals,,,,,,,,
Infinite Sequence,,,,,,,,
Infinite Set,,,,,,,,
Initial Side,,,,,,,,
Initial Velocity,,,,,,,,
Injective,,,,,,,,
Integral Calculus,,,,,,,,
Integral Power,,,,,,,,
Integrating Factor,,,,,,,,
Integration By Parts,,,,,,,,
Integrator,,,,,,,,
Intercept Form,,,,,,,,
Intercepts,,,,,,,,
Interest Rate,,,,,,,,
Internal Division,,,,,,,,
Internally,,,,,,,,
Intersect At Exactly One Point,,,,,,,,
Intervals,,,,,,,,
Inverse Axiom,,,,,,,,
Inverse Of A Function,,,,,,,,
Inverse Property,,,,,,,,
Inverses,,,,,,,,
Invertible,,,,,,,,
Irrational Number,,,,,,,,
L’Hôpital’S Rule,,,,,,,,
Language Of Mathematics,,,,,,,,
Latitude,,,,,,,,
Laws Of Radicals,,,,,,,,
Length Of Arc,,,,,,,,
Length Of The Curve,,,,,,,,
Like Surds,,,,,,,,
Like Vectors,,,,,,,,
Limit Of A Function,,,,,,,,
Line Of Sight,,,,,,,,
Linear Differential Equation,,,,,,,,
Linear Equations,,,,,,,,
Linear Factor,,,,,,,,
Linear Factors,,,,,,,,
Linear Function,,,,,,,,
Linear Graph,,,,,,,,
Linear System,,,,,,,,
Lines,,,,,,,,
Localised Vector,,,,,,,,
Logarithmic Notation,,,,,,,,
Logarithmic Series,,,,,,,,
Logarithms,,,,,,,,
Logical Equivalence,,,,,,,,
Logical Statement,,,,,,,,
Long Division,,,,,,,,
Longitude,,,,,,,,
Loops,,,,,,,,
Lower Limits,,,,,,,,
Main Diagonal Elements,,,,,,,,
Major Axis,,,,,,,,
Manipulate,,,,,,,,
Mantissa Part,,,,,,,,
Mapping,,,,,,,,
Mass,,,,,,,,
Mathematical Induction,,,,,,,,
Mathematical Logic,,,,,,,,
Mathematical Proofs,,,,,,,,
Mathematical Shorthand,,,,,,,,
Matrix,,,,,,,,
Matrix Algebra,,,,,,,,
Maximum And Minimum Values,,,,,,,,
Mean Deviation,,,,,,,,
Mean Difference,,,,,,,,
Mean Error,,,,,,,,
Mean Value Theorems,,,,,,,,
Measure Of Slope,,,,,,,,
Measures Of Dispersion,,,,,,,,
Member,,,,,,,,
Mersenne Prime,,,,,,,,
Method Of Substitution,,,,,,,,
Methods Of Integration,,,,,,,,
Minor Axis,,,,,,,,
Minors,,,,,,,,
Mixed Surds,,,,,,,,
Modern Statistics,,,,,,,,
Modulo Operation,,,,,,,,
Modulus Amplitude Form,,,,,,,,
Modulus Function,,,,,,,,
Modulus Of A Complex Number,,,,,,,,
Moments,,,,,,,,
Moments About The Origin,,,,,,,,
Momentum,,,,,,,,
Monoid,,,,,,,,
Monotonic Functions,,,,,,,,
Multiple Angle Identities,,,,,,,,
Multiplication Modulo,,,,,,,,
Multiplication Of Surds,,,,,,,,
Mutually Disjoint,,,,,,,,
Mutually Exclusive Events,,,,,,,,
Mutually Perpendicular,,,,,,,,
Nanoscience,,,,,,,,
Nature Of Bending,,,,,,,,
Negation,,,,,,,,
Negation Of A Negation,,,,,,,,
Negative,,,,,,,,
Negative Of A Matrix,,,,,,,,
Negative Vector,,,,,,,,
Neutral,,,,,,,,
Non - Zero Real Number,,,,,,,,
Non Homogeneous Equations,,,,,,,,
Non Trivial Solutions,,,,,,,,
Non Vertical Lines,,,,,,,,
Non-Negative Integers,,,,,,,,
Non-Singular Matrix,,,,,,,,
Non-Zero Constant,,,,,,,,
Normal Distribution,,,,,,,,
Normal Form,,,,,,,,
Normals,,,,,,,,
Not Intersect At Any Point,,,,,,,,
Null Matrix Or Zero-Matrix,,,,,,,,
Numerical Coefficients,,,,,,,,
Numerically Equal,,,,,,,,
Oblique Line,,,,,,,,
Odd Integer,,,,,,,,
Ogive Or Cumulative Frequency Curve,,,,,,,,
One-To-One Function,,,,,,,,
Onto Function,,,,,,,,
Open Disc,,,,,,,,
Open Downward,,,,,,,,
Open Leftward,,,,,,,,
Open Upward,,,,,,,,
Opposite Side,,,,,,,,
Optative,,,,,,,,
Optimisation Problems,,,,,,,,
Order Of A Differential Equation,,,,,,,,
Order Of A Group,,,,,,,,
Order Of A Matrix,,,,,,,,
Order Of The Radical,,,,,,,,
Orthogonal Circles,,,,,,,,
Parabolic Mirrors,,,,,,,,
Parabolic Reflector,,,,,,,,
Paradox,,,,,,,,
Parallel Vectors,,,,,,,,
Parameters Of The Distribution,,,,,,,,
Parametric Equation,,,,,,,,
Parametric Form,,,,,,,,
Parametric Functions,,,,,,,,
Partial Derivatives,,,,,,,,
Partial Differentiation,,,,,,,,
Partial Sum,,,,,,,,
Partly Irrational,,,,,,,,
Partly Rational,,,,,,,,
Percentage Error,,,,,,,,
Permutations,,,,,,,,
Perpendicular,,,,,,,,
Point Of Contact,,,,,,,,
Point Of Intersection,,,,,,,,
Point Of Tangency,,,,,,,,
Points,,,,,,,,
Points Of Inflection,,,,,,,,
Point-Slope Form,,,,,,,,
Poisson Distribution,,,,,,,,
Polar Form,,,,,,,,
Polynomial Function,,,,,,,,
Polynomials,,,,,,,,
Position Values,,,,,,,,
Position Vector,,,,,,,,
Positive Integer,,,,,,,,
Positive Integral Index,,,,,,,,
Positive Square Root,,,,,,,,
Positive Square Root Of The Variance,,,,,,,,
Postulates,,,,,,,,
Power Law,,,,,,,,
Power Set,,,,,,,,
Preimage,,,,,,,,
Preserving Functions,,,,,,,,
Prime Factors,,,,,,,,
Principal Diagonal Or Leading Diagonal Elements,,,,,,,,
Principal Solution,,,,,,,,
Probability Density Function,,,,,,,,
Probability Distributions,,,,,,,,
Probability Mass Function,,,,,,,,
Probability Theory,,,,,,,,
Probably,,,,,,,,
Product Law,,,,,,,,
Product Of Roots,,,,,,,,
Projection,,,,,,,,
Projection Formulae,,,,,,,,
Proof,,,,,,,,
Proofs In Mathematics,,,,,,,,
Proper Subset Of,,,,,,,,
Properties Of Set Operations,,,,,,,,
Proportionality,,,,,,,,
Proposition,,,,,,,,
Pure Surds,,,,,,,,
Quadrant Of A Circle,,,,,,,,
Quadratic Equations,,,,,,,,
Quadratic Factor,,,,,,,,
Quadratic Factors,,,,,,,,
Quadratic Forms,,,,,,,,
Quadratic Graphs,,,,,,,,
Quadratic Inequalities,,,,,,,,
Quantity,,,,,,,,
Quartile Deviation,,,,,,,,
Quotient Law,,,,,,,,
Radian Measure,,,,,,,,
Radical Sign,,,,,,,,
Radicals,,,,,,,,
Random Experiment,,,,,,,,
Random Variable,,,,,,,,
Rank Method,,,,,,,,
Rate Measure,,,,,,,,
Rate Of Change,,,,,,,,
Rational Index,,,,,,,,
Rationalization Of Surds,,,,,,,,
Rationalizing Factor,,,,,,,,
Real,,,,,,,,
Real Constants,,,,,,,,
Real Line,,,,,,,,
Reciprocal Of A Function,,,,,,,,
Reciprocal Of A Vector,,,,,,,,
Rectangular Hyperbola,,,,,,,,
Recurring,,,,,,,,
Recursive Formula,,,,,,,,
Reduction Formulae,,,,,,,,
Relations,,,,,,,,
Relative Error,,,,,,,,
Relative Standard Deviation,,,,,,,,
Repeated Integrals,,,,,,,,
Restoration,,,,,,,,
Reversal Law For Transpose Of Matrices,,,,,,,,
Reversing Functions,,,,,,,,
Revolution,,,,,,,,
Rolled,,,,,,,,
Roots,,,,,,,,
Roots Of A Quadratic Equation,,,,,,,,
Roster Form,,,,,,,,
Row Matrix,,,,,,,,
Row Vector,,,,,,,,
Sample Point,,,,,,,,
Scalar Matrix,,,,,,,,
Scalar Multiplication,,,,,,,,
Scalar Triple Product,,,,,,,,
Scientific Notations,,,,,,,,
Second Fundamental Theorem,,,,,,,,
Second Order Derivative,,,,,,,,
Second Order Partial Derivatives,,,,,,,,
Section Formula,,,,,,,,
Sector,,,,,,,,
Semi Circle,,,,,,,,
Semi-Group,,,,,,,,
Semi-Major Axis,,,,,,,,
Set Builder Form,,,,,,,,
Set Equality,,,,,,,,
Set Of Ordered Pairs,,,,,,,,
Set Of Rational Numbers,,,,,,,,
Set Theory,,,,,,,,
Sets,,,,,,,,
Signum Function,,,,,,,,
Similar Objects,,,,,,,,
Simple Definite Integrals,,,,,,,,
Simple Event,,,,,,,,
Simple Factors,,,,,,,,
Simple Statements,,,,,,,,
Singleton Set,,,,,,,,
Singular Matrices,,,,,,,,
Skewness,,,,,,,,
Slope,,,,,,,,
Slope Of A Straight Line,,,,,,,,
Slope Or Gradient Of A Curve,,,,,,,,
Slope-Intercept Form,,,,,,,,
Slope-Point Form,,,,,,,,
Smooth Curve,,,,,,,,
Smoothed Frequency Curve,,,,,,,,
Solid Hemisphere,,,,,,,,
Solids,,,,,,,,
Space Curves,,,,,,,,
Special Line Segments,,,,,,,,
Special Polynomial,,,,,,,,
Special Series,,,,,,,,
Spirals,,,,,,,,
Square Function,,,,,,,,
Squaring Property,,,,,,,,
Standard Deviation,,,,,,,,
Standard Integrals,,,,,,,,
Stationary Point,,,,,,,,
Step Deviation Method,,,,,,,,
Step Functions,,,,,,,,
Straight Lines,,,,,,,,
Subjective Probability,,,,,,,,
Submatrix,,,,,,,,
Sub-Statements Or Component Statements,,,,,,,,
Subtraction Of Surds,,,,,,,,
Successive Magnification,,,,,,,,
Suffixes,,,,,,,,
Sum Of The Roots,,,,,,,,
Summation,,,,,,,,
Support,,,,,,,,
Surd,,,,,,,,
Surface Area Of A Cuboid,,,,,,,,
Surface Area Of A Solid,,,,,,,,
Surfaces,,,,,,,,
Surjective,,,,,,,,
Symbolic Logic,,,,,,,,
Symmetric Difference,,,,,,,,
System Of Linear Equations,,,,,,,,
Tangent-Chord Theorem,,,,,,,,
Tautologies,,,,,,,,
Temperature,,,,,,,,
Terminal Side,,,,,,,,
Terminating Decimals,,,,,,,,
Thales Theorem,,,,,,,,
Theoretical Distributions,,,,,,,,
Theory Of Real Functions,,,,,,,,
Thrice,,,,,,,,
Topology,,,,,,,,
Tossed,,,,,,,,
Total Surface Area,,,,,,,,
Transpose Of A Matrix,,,,,,,,
Trial,,,,,,,,
Triangular Matrix,,,,,,,,
Trigonometric Equations,,,,,,,,
Trigonometric Functions,,,,,,,,
Trigonometric Identities,,,,,,,,
Trigonometric Ratios,,,,,,,,
Trigonometrical Ratios,,,,,,,,
Trivial Solution,,,,,,,,
True Statement,,,,,,,,
Truth Table,,,,,,,,
Two Point Form,,,,,,,,
Two-Points Form,,,,,,,,
Unbiased Dice,,,,,,,,
Unifying,,,,,,,,
Unique Solution,,,,,,,,
Unit Matrix,,,,,,,,
Universal Set,,,,,,,,
Unlike Surds,,,,,,,,
Unlike Vectors,,,,,,,,
Upper Limits,,,,,,,,
Upstream,,,,,,,,
Upward Arrow,,,,,,,,
Variable Separable Method,,,,,,,,
Vector Algebra,,,,,,,,
Venn Diagram,,,,,,,,
Vertical Arrangements,,,,,,,,
Vertical Distance,,,,,,,,
Vertical Lines,,,,,,,,
Vertices,,,,,,,,
Weighted Arithmetic Mean,,,,,,,,
Well-Defined,,,,,,,,
Wise,,,,,,,,
Zero Factorial,,,,,,,,
Zero Matrix Or Null Matrix Or Void Matrix,,,,,,,,
Zeros Of A Polynomial,,,,,,,,
College Board,,,,,,,,
You may round your answer to the nearest hundredth,,,,,,,,
$\\,,SYM,$\\,,,$\\,,
$\\chi^2$ test for homogeneity,,,,,,,,
The table gave us the expected counts below each of the observed counts:,,,,,,,,
(expected counts appear below observed counts),,,,,,,,
what is the most appropriate conclusion to draw from this test,,,,,,,,
Assume that all conditions for inference were met,,,,,,,,
Limiting reagent,,,,,,,,
examples,,,例题,,,例題,,
Missing numbers,,,未知数,,,未知數,,
Assume that all conditions for inference have been met,,,,,,,,
Here is computer output from a least-squares regression analysis,,,,,,,,
Which of these is a $95\\%$ confidence interval for the slope of the least squares regression line?**,,,,,,,,
Our statistic is the sample slope,,,,,,,,
Our standard error of the sample slope is,,,,,,,,
so for $95\\%$ confidence our critical value is,,,,,,,,
**Which of these is a $90\\%$ confidence interval for the slope of the least squares regression line,,,,,,,,
Which of these is a $99\\%$ confidence interval for the slope of the least squares regression line,,,,,,,,
Here is regression output on the sample data,,,,,,,,
"At the $\\alpha=0.05$ level of significance, is there sufficient evidence to conclude",,,,,,,,
momentum,,,,,,,,
which of these is the most appropriate conclusion for this population,,,,,,,,
The P-value suggests that the sample slope isn't likely to happen by random chance alone when $\\text{H}_0$ is true,,,,,,,,
endpoint,,,,,,,,
operation,,,,,,,,
*Answer using a coordinate system where rightward is positive.*,,,,,,,,
*Round answer to two significant digits.*,,,,,,,,
Note that rightward is the positive direction.,,,,,,,,
where rightwards is the positive velocity direction,,,,,,,,
*Assume the positive direction is upward and air resistance is negligible.*,,,,,,,,
offset,,,,,,,,
double inequality,,,,,,,,
Round your answer to three significant digits,,,,,,,,
What is the correct expression for the,,,,,,,,
Consider rightward as the positive direction,,,,,,,,
What is the correct expression for the horizontal acceleration magnitude $a$,,,,,,,,
What is the equal and opposite force for the force of,,,,,,,,
Answer using a coordinate system where down the ramp is a positive direction,,,,,,,,
Round the answer to two significant digits,,,,,,,,
the gravitational field strength,,,,,,,,
correctness,,,,,,,,
mastery points,,,,,,,,
specific impulse,,,,,,,,
antiderivative,,,,,,,,
statement,,,,,,,,
categorical data,,,,,,,,
estimators,,,,,,,,
factor,,,,,,,,
rotational inertia,,,,,,,,
extrema,,,,,,,,
trough,,,,,,,,
inverse square law,,,,,,,,
punnett square,,,,,,,,
Explicit,,,,,,,,
enthalpy,,NOUN,,,,,,
class name,,,,,,,,
sorting algorithm,,,,,,,,
sorting algorithms,,,,,,,,
running time,,,,,,,,
Divide-and-conquer,,,,,,,,
Symbol breakdown,,,,,,,,
Kirchhoff loop rule,,,,,,,,
Kirchhoff's Current Law,,,,,,,,
Kirchhoff's loop rule,,,,,,,,
Kirchhoff&#39;s loop rule,,,,,,,,
restoring force,,,,,,,,
official language,,,,,,,,
Support Advocate,,,,,,,,
Support Community,,,,,,,,
unit rate of change,,,,,,,,
Brahmin,,NOUN,,,,,,
Kshatriya,,,,,,,,
Vaishya,,,,,,,,
Read the passage below and answer the question.,,,,,,,,
Do not enter commas in your answer.,,,,,,,,
Do not use commas in your answer.,,,,,,,,
gross domestic product,,,,,,,,
Read the passage and answer the question.,,,,,,,,
Let's explore this model using a table.,,,,,,,,
The events described in this passage can be best understood in which of the following contexts?,,,,,,,,
stress,,,,,,,,
Your answer should be a polynomial in standard form,,,,,,,,
Familiar,,,,,,,,
Mastery points,,,,,,,,
Axis Powers,,NOUN,,,,,,
Allies,,NOUN,,,,,,
Central Powers,,NOUN,,,,,,
solvent,,,,,,,,
solute,,,,,,,,
Ginevra,,,,,,,,
Mindset Marathon,,,,,,,,
divine kingship,,,,,,,,
bouquet,,NOUN,,,,,,
tulip,,NOUN,,,,,,
daffodil,,NOUN,,,,,,
Question set,,,,,,,,
glance,,NOUN,,,,,,
Mistakes as puzzle pieces,,,,,,,,
"Keep going, keep growing",,,,,,,,
cryptocurrency,,,,,,,,
data point,,,,,,,,
Mastery,,,,,,,,
Struggling,,,,,,,,
radius,,NOUN,,,,,,
Timely,,,,,,,,
Actionable,,,,,,,,
eigenvalues,,,,,,,,
eigenvectors,,,,,,,,
Radical functions,,,,,,,,
Local linearization,,,,,,,,
saddle,,NOUN,,,,,,
biased estimator,,,,,,,,
partial derivative,,,,,,,,
hanger diagram,,,,,,,,
Click,,,,,,,,
Matched pairs,,,,,,,,
randomized block design,,,,,,,,
for completing all three parts of the activity and gain progress on the LearnStorm progress tracker,,,,,,,,
LearnStorm tracker.,,,,,,,,
Assign,,,,,,,,
courses,,NOUN,,,,,,
The approximate location of the mean is in interval,,,,,,,,
The approximate location of the median is in interval,,,,,,,,
The approximate location of the median is point,,,,,,,,
The approximate location of the mean is point,,,,,,,,
variance,,,,,,,,
You may round your answer to the nearest centimeter,,,,,,,,
properties,,,,,,,,
Mutually exclusive events,,,,,,,,
You may round your answer,,,,,,,,
Which of these is an appropriate least-squares equation for this model?,,,,,,,,
specify,,,,,,,,
save percentage,,NOUN,,,,,,
"What, if anything, is missing from this description?",,,,,,,,
rhombus,rombo,NOUN,,,,,,
Concave Down(wards) function,,,,,,,,
Concave Up(wards) function,,,,,,,,
Open Upward,,,,,,,,
